ID;Parent_ID;Tipo_Organo
144;143;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
145;144;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
146;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
147;146;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
148;147;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
149;148;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
150;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
151;150;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
152;151;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
153;152;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
154;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
155;154;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
156;155;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
157;156;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
158;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
159;158;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
160;159;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
161;160;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
162;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
163;162;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
164;163;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
165;164;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
166;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
167;166;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
168;167;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
169;168;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
170;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
171;170;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
172;171;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
173;172;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR
174;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
175;174;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
176;175;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
177;176;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR
178;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
179;178;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
180;179;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
181;180;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR
182;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
183;182;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
184;183;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
185;184;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR
186;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
187;186;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
188;187;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
189;188;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR
190;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
191;190;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
192;191;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
193;192;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR
194;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
195;194;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
196;195;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
197;196;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR
198;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
199;198;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
200;199;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
201;200;DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR
202;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
203;202;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
204;203;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
205;204;DEPARTAMENTO  DE ATENCIÓN A LA INFANCIA Y ADOLESCENCIA
206;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
207;206;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
208;207;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
209;208;DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA
210;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
211;210;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
212;211;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
213;212;DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA
214;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
215;214;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
216;215;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
217;216;DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA
218;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
219;218;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
220;219;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
221;220;DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA
222;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
223;222;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
224;223;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
225;224;DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA
226;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
227;226;DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES
228;227;SERVICIO DE ACCIÓN SOCIAL Y MAYORES
229;228;DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA
230;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
231;230;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
232;231;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA
233;232;DEPARTAMENTO DE IGUALDAD Y DIVERSIDAD
234;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
235;234;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
236;235;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA
237;236;DEPARTAMENTO DE IGUALDAD Y DIVERSIDAD
238;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
239;238;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
240;239;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA
241;240;DEPARTAMENTO DE IGUALDAD Y DIVERSIDAD
242;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
243;242;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
244;243;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA
245;244;DEPARTAMENTO DE IGUALDAD Y DIVERSIDAD
246;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
247;246;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
248;247;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA
249;248;JEFATURA DEPARTAMENTO DE JUVENTUD
250;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
251;250;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
252;251;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA
253;252;JEFATURA DEPARTAMENTO DE JUVENTUD
254;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
255;254;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
256;255;SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA
257;256;DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO
258;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
259;258;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
260;259;SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA
261;260;SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA
262;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
263;262;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
264;263;SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA
265;264;SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA
266;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
267;266;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
268;267;SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA
269;268;SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA
270;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
271;270;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
272;271;SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA
273;272;SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA
274;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
275;274;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
276;275;SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA
277;276;JEFATURA DE DEPARTAMENTO DE DISTRITO NORTE-OESTE
278;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
279;278;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
280;279;SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA
281;280;DEPARTAMENTO DE DISTRITO NORESTE-ESTE
282;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
283;282;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
284;283;SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA
285;284;DEPARTAMENTO DE DISTRITO NORESTE-ESTE
286;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
287;286;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
288;287;SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA
289;288;DEPARTAMENTO DE DISTRITO NORESTE-ESTE
290;999999;ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS
291;290;DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS
292;291;SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA
293;292;DEPARTAMENTO DE DISTRITO NORESTE-ESTE
294;999999;ÁREA DE GOBIERNO DE DINAMIZACIÓN CULTURAL Y PATRIMONIO HISTÓRICO
295;294;DELEGACIÓN DE CULTURA, JEREZ CAPITAL CULTURAL Y REHABILITACIÓN DEL PATRIMONIO HISTÓRICO
296;295;SERVICIO DE  CULTURA, JEREZ CAPITAL CULTURAL Y REHABILITACIÓN DE PATRIMONIO HISTÓRICO
297;296;SERVICIO DE  CULTURA, JEREZ CAPITAL CULTURAL Y REHABILITACIÓN DE PATRIMONIO HISTÓRICO
298;999999;ÁREA DE GOBIERNO DE DINAMIZACIÓN CULTURAL Y PATRIMONIO HISTÓRICO
299;298;DELEGACIÓN DE CULTURA, JEREZ CAPITAL CULTURAL Y REHABILITACIÓN DEL PATRIMONIO HISTÓRICO
300;299;SERVICIO DE  CULTURA, JEREZ CAPITAL CULTURAL Y REHABILITACIÓN DE PATRIMONIO HISTÓRICO
301;300;SERVICIO DE  CULTURA, JEREZ CAPITAL CULTURAL Y REHABILITACIÓN DE PATRIMONIO HISTÓRICO
302;999999;ÁREA DE GOBIERNO DE DINAMIZACIÓN CULTURAL Y PATRIMONIO HISTÓRICO
303;302;DELEGACIÓN DE CULTURA, JEREZ CAPITAL CULTURAL Y REHABILITACIÓN DEL PATRIMONIO HISTÓRICO
304;303;SERVICIO DE  CULTURA, JEREZ CAPITAL CULTURAL Y REHABILITACIÓN DE PATRIMONIO HISTÓRICO
305;304;DEPARTAMENTO DE CULTURA Y FIESTAS
306;999999;ÁREA DE GOBIERNO DE DINAMIZACIÓN CULTURAL Y PATRIMONIO HISTÓRICO
307;306;DELEGACIÓN DE CULTURA, JEREZ CAPITAL CULTURAL Y REHABILITACIÓN DEL PATRIMONIO HISTÓRICO
308;307;SERVICIO DE  CULTURA, JEREZ CAPITAL CULTURAL Y REHABILITACIÓN DE PATRIMONIO HISTÓRICO
309;308;DEPARTAMENTO DE CULTURA Y FIESTAS
310;999999;ÁREA DE GOBIERNO DE DINAMIZACIÓN CULTURAL Y PATRIMONIO HISTÓRICO
311;310;DELEGACIÓN DE CULTURA, JEREZ CAPITAL CULTURAL Y REHABILITACIÓN DEL PATRIMONIO HISTÓRICO
312;311;SERVICIO DE  CULTURA, JEREZ CAPITAL CULTURAL Y REHABILITACIÓN DE PATRIMONIO HISTÓRICO
313;312;DEPARTAMENTO DE CULTURA Y FIESTAS
314;999999;ÁREA DE GOBIERNO DE DINAMIZACIÓN CULTURAL Y PATRIMONIO HISTÓRICO
315;314;DELEGACIÓN DE CULTURA, JEREZ CAPITAL CULTURAL Y REHABILITACIÓN DEL PATRIMONIO HISTÓRICO
316;315;SERVICIO DE  CULTURA, JEREZ CAPITAL CULTURAL Y REHABILITACIÓN DE PATRIMONIO HISTÓRICO
317;316;DEPARTAMENTO DE CULTURA Y FIESTAS
