"areaGobierno","delegacion","servicio","departamento","nivelPuesto","zz","nombrePuesto","tipoPuesto","tipoPersonal","formaProvision","adscripciongrupos","adcripcionescalas","nivelComplementoDestino","complementoEspecificoEuros","observaciones","requisitos","situacion"
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","STAFF ALCALDIA","SERVICIO DE APOYO ADMINISTRATIVO AL TRIBUNAL DE LAS RECLAMACIONES ECONÓMICOADMINISTRATIVAS Y DEL TRIBUNAL ESPECIAL EN MATERIA DE CONTRATACIÓN","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0","VACANTE"
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE GESTIÓN DE ALCALDÍA PRESIDENCIA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0","VACANTE"
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0","VACANTE"
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",17195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE ATENCIÓN A LA CIUDADANÍA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",17195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE IMPRENT, IMAGEN Y COMUNICACIÓN","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE RADIO Y TV MUNICIPALONDA JEREZ","AU","AU026","AGENTE DE PUBLICIDAD Y PATROCINIO","NS","L","C","C2",,15195,7735,,"TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE RADIO Y TV MUNICIPALONDA JEREZ","AU","AU029","AUXILIAR DE PRODUCCIÓN","NS","L","C","C2",,15195,7735,,"TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","DEPARTAMENTO DE RADIO Y TV MUNICIPALONDA JEREZ","AU","AU029","AUXILIAR DE PRODUCCIÓN","NS","L","C","C2",,15195,7735,,"TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","SERVICIO DE ASISTENCIA JURÍDICA Y DERECHO A LA INFORMACION","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ALCALDÍA   PRESIDENCIA","ALCALDÍA   PRESIDENCIA","SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO","SERVICIO DE INFORMÁTICA Y SISTEMA DE INFORMACIÓN MUNICIPAL","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0","VACANTE"
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE DEPENDENCIA, DISCAPACIDAD Y ATENCIÓN AL MAYOR","AU","AU007","AUXILIAR DE ENFERMERÍA Y O CLINICA","NS","F/L","C","C2","A.G.",14195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO  DE ATENCIÓN A LA INFANCIA Y ADOLESCENCIA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA7",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0","VACANTE"
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"TA0",,
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE ACCIÓN SOCIAL Y MAYORES","SERVICIO DE ACCIÓN SOCIAL Y MAYORES","DEPARTAMENTO DE  ACCIÓN COMUNITARIA Y ACOGIDA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0","VACANTE"
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA","DEPARTAMENTO DE IGUALDAD Y DIVERSIDAD","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA","DEPARTAMENTO DE IGUALDAD Y DIVERSIDAD","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA","DEPARTAMENTO DE IGUALDAD Y DIVERSIDAD","AU","AU007","AUXILIAR DE ENFERMERÍA Y O CLINICA","NS","F/L","C","C2","A.G.",14195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA","DEPARTAMENTO DE IGUALDAD Y DIVERSIDAD","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA1","VACANTE"
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA","JEFATURA DEPARTAMENTO DE JUVENTUD","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA","JEFATURA DEPARTAMENTO DE JUVENTUD","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA","DEPARTAMENTO DE PREVENCIÓN Y ATENCIÓN EN VIOLENCIA DE GÉNERO","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
"ÁREA DE GOBIERNO DE ACCIÓN SOCIAL Y POLÍTICAS INCLUSIVAS","DELEGACIÓN DE IGUALDAD, POLÍTICAS DE JUVENTUD E INFANCIA, DIVERSIDAD Y VIVIENDA Y COORDINACIÓN DE DISTRITOS","SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA","SERVICIO DE PARTICIPACIÓN CIUDADANA, DISTRITOS Y VIVIENDA","AU","AU002","AUXILIAR ADMINISTRATIVO","NS","F/L","C","C2","A.G.",15195,7735,"AERL","TA0",
