nombreUnidadOrganizativa,dotacion,numeroVacantes,puesto,nombrePuesto
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,TM021,"TÉCNICO/A MEDIO DE CÁMARA, SONIDO Y RADIO TV"
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,TS002,TÉCNICO/A SUPERIOR DE GESTIÓN Y/O ATENCION SOCIAL
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU155,JEFATURA DE UNIDAD TÉCNICA DE TV Y RADIO
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU108,JEFE/A DE UNIDAD DE INFORMATIVOS Y DEPORTES
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JD086,JEFATURA DE DEPARTAMENTO DE RADIO Y TV MUNICIPAL- ONDA JEREZ
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,1,TE011,ADMINISTRATIVO/A DE COORDINACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,1,SU013,"AYUDANTE (CARPINTERO, ALBAÑIL, PINTOR, CERRAJERO, ELECTRI, MECANICO, FONTAN, JARDINERO, IMPRENTA)"
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,1,AU028,AUXILIAR DE REALIZACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,2,0,AU029,AUXILIAR DE PRODUCCIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,2,0,TE022,TÉCNICO/A ELECTRÓNICO/A
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,2,1,TM020,TÉCNICO/A MEDIO/A DE COMUNICACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,3,0,AU027,"AUXILIAR DE CÁMARA,SONIDO Y RADIO TV"
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,3,0,TS008,TÉCNICO/A SUPERIOR COMUNICACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,4,0,TE020,TÉCNICO/A DE REALIZACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,4,0,TE003,ENCARGADO/A ESPECIALISTAS
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,5,0,AU005,AUXILIAR DE COMUNICACIÓN
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE RADIO Y TV MUNICIPAL-ONDA JEREZ - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,8,0,TE019,"TÉCNICO/A  DE CÁMARA, SONIDO Y RADIO TV"
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE SEGURIDAD INFORMÁTICA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU123,JEFE/A DE UNIDAD DE SEGURIDAD INFORMÁTICA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE SEGURIDAD INFORMÁTICA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JD103,JEFATURA DE DEPARTAMENTO DE SEGURIDAD INFORMÁTICA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE SISTEMAS Y TELECOMUNICACIONES - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,AU025,OPERADOR DE INFORMÁTICA AUXILIAR
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE SISTEMAS Y TELECOMUNICACIONES - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,TS023,TÉCNICO/A SUPERIOR INFORMÁTICA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE SISTEMAS Y TELECOMUNICACIONES - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU114,JEFE/A DE UNIDAD DE COMUNICACIONES DE DATOS
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE SISTEMAS Y TELECOMUNICACIONES - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU115,JEFE/A DE UNIDAD DE SISTEMAS
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE SISTEMAS Y TELECOMUNICACIONES - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JD071,JEFATURA DE DEPARTAMENTO DE SISTEMAS Y TELECOMUNICACIONES
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DE SISTEMAS Y TELECOMUNICACIONES - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,3,0,TE005,OPERADOR/A DE INFORMÁTICA
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DEL ÓRGANO PARA LA RESOLUCIÓN DE LAS RECLAMACIONES ECONÓMICO-ADMINISTRATIVAS - STAFF,1,0,JD092,JEFATURA DE DEPARTAMENTO DEL ÓRGANO PARA LA RESOLUCIÓN DE LAS RECLAMACIONES ECONÓMICO-ADMINISTRATIVAS
ALCALDÍA -  PRESIDENCIA - DEPARTAMENTO DEL ÓRGANO PARA LA RESOLUCIÓN DE LAS RECLAMACIONES ECONÓMICO-ADMINISTRATIVAS - STAFF,1,1,JU165,JEFE/A DE UNIDAD DE ÓRGANO PARA LA RESOLUCIÓN DE RECLAMACIONES ECO-ADMTVAS
ALCALDÍA -  PRESIDENCIA - SECRETARIA - STAFF,1,0,AU002,AUXILIAR ADMINISTRATIVO
ALCALDÍA -  PRESIDENCIA - SECRETARIA - STAFF,1,0,TE012,ADMINISTRATIVO/A
ALCALDÍA -  PRESIDENCIA - SECRETARIA - STAFF,1,0,JU014,JEFE/A DE UNIDAD DE SERVICIOS GENERALES- SECRETARIA
ALCALDÍA -  PRESIDENCIA - SECRETARIA - STAFF,1,0,JD043,JEFATURA DE DEPARTAMENTO  DE ACTAS Y GESTIÓN DEL PLENO
ALCALDÍA -  PRESIDENCIA - SECRETARIA - STAFF,1,0,CN007,OFICIAL MAYOR
ALCALDÍA -  PRESIDENCIA - SECRETARIA - STAFF,1,0,CN001,SECRETARIO/A GENERAL DEL PLENO
ALCALDÍA -  PRESIDENCIA - SECRETARIA - STAFF,1,1,AU008,AUXILIAR ADMINISTRATIVO DE COORDINACIÓN
ALCALDÍA -  PRESIDENCIA - SECRETARIA - STAFF,1,1,AU030,SECRETARIO/A DE DELEGADOS/AS
ALCALDÍA -  PRESIDENCIA - SECRETARIA - STAFF,2,2,TE011,ADMINISTRATIVO/A DE COORDINACIÓN
ALCALDÍA -  PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,TS010,ASESOR/A JURIDICO
ALCALDÍA -  PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,TS001,TÉCNICO/A  OFICINAS DE COORDINACIÓN
ALCALDÍA -  PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU091,JEFE/A DE UNIDAD DE ADMINISTRACIÓN
ALCALDÍA -  PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JU194,JEFE/A DE UNIDAD DE CALIDAD DE SERVICIOS MUNICIPALES
ALCALDÍA -  PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JD064,JEFATURA DEPARTAMENTO  JURÍDICO-ADMINISTRATIVO
ALCALDÍA -  PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JD070,JEFATURA DE DEPARTAMENTO DE SERVICIOS ADMINISTRATIVOS DE ALCALDÍA-PRESIDENCIA Y GABINETE JURÍDICO
ALCALDÍA -  PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,JD058,JEFATURA DEPARTAMENTO ENLACE TÉCNICO  CON DELEGACIONES
ALCALDÍA -  PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,0,DS025,SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO
ALCALDÍA -  PRESIDENCIA - SERVICIO DE ALCALDÍA PRESIDENCIA Y GABINETE JURÍDICO,1,1,TE011,ADMINISTRATIVO/A DE COORDINACIÓN
